epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.566,0.88113,2.93448,1.34891,0.74133,0.62356,0.85468,0.69029,0.65192,2.89336,1.20803,0.00029795,0.00029795,0.00029795
2,913.277,0.74213,1.67419,1.20782,0.72166,0.92661,0.89449,0.74911,0.65706,2.14051,1.14507,0.000589051,0.000589051,0.000589051
3,1326.99,0.71158,1.48311,1.17973,0.81973,0.93698,0.90639,0.72573,0.76504,1.96013,1.2607,0.000868154,0.000868154,0.000868154
4,1669.75,0.72401,1.2889,1.15419,0.73762,0.82959,0.74909,0.64006,0.60819,1.97922,1.10666,0.000855005,0.000855005,0.000855005
5,2039.4,0.6859,1.1612,1.13253,0.86926,0.97039,0.94598,0.82116,0.61708,1.47364,1.12377,0.000837007,0.000837007,0.000837007
6,2365.42,0.69491,1.07593,1.14797,0.78792,0.955,0.90719,0.80139,0.54358,1.2757,1.04431,0.000819009,0.000819009,0.000819009
7,2670.3,0.62958,0.89679,1.10605,0.9777,0.9841,0.995,0.84478,0.61381,0.89543,1.08186,0.000801011,0.000801011,0.000801011
8,3011.36,0.60408,0.83947,1.07832,0.98286,1,0.995,0.8736,0.55754,0.76461,1.0528,0.000783013,0.000783013,0.000783013
9,3344.14,0.59332,0.72761,1.07635,0.94119,0.99444,0.995,0.88788,0.50778,0.79777,1.00469,0.000765014,0.000765014,0.000765014
10,3669,0.58785,0.6817,1.07071,0.96973,0.9998,0.995,0.89377,0.48451,0.62523,0.98839,0.000747016,0.000747016,0.000747016
11,3958.57,0.55984,0.64325,1.05475,0.97054,1,0.995,0.88012,0.54703,0.60442,1.0256,0.000729018,0.000729018,0.000729018
12,4246.35,0.56289,0.61121,1.05948,0.96264,1,0.995,0.89454,0.4939,0.5355,0.97338,0.00071102,0.00071102,0.00071102
13,4504.71,0.54708,0.6,1.0578,0.98868,1,0.995,0.90456,0.47783,0.48934,0.97855,0.000693022,0.000693022,0.000693022
14,4845.29,0.55232,0.57193,1.05567,0.97897,1,0.995,0.8861,0.4831,0.47832,0.98544,0.000675023,0.000675023,0.000675023
